compname,akadba,physaddr,physcity,physstate,physzip,vnumber,loccount,products,exec1,gender1,officermail1,title1,exec2,gender2,officermail2,title2,fnumber,nnumber,web,email,mailaddr,mailcity,mailstate,mailzip,yearestab,distribtyp,ownertype,sales,squarefeet,imports,exec3,gender3,gender3_d,title3,exec4,gender4,gender4_d,title4,exec5,gender5,officermail5,title5,exec6,gender6,officermail6,title6,exec7,gender7,officermail7,title7,exec8,gender8,officermail8,title8,exec9,gender9,officermail9,title9,exec10,gender10,officermail10,title10,parentname,parentcity,parentstat,onumber,header,advertiser,primarysic,sic2,companyid,datasource,bookid,newinyear,priority,addresserror,dpvfootnote,altphone,paddress,pzip5
LA CUISINE APPLIANCES,,50 Aragon Ave.,Miami,FL,33134,3054429006,4,"Distributor of European & domestic high-end kitchen appliances, including stoves, refrigerators, counters & sinks",Sue Fernandez,F,Q,Store Mgr.,,,,,3054441425,,www.lacuisineappliances.com,info@lacuisineappliances.com,,,,,2005,I,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LCi Distributors, LLC",Miami,FL,3054180010,AP0010,No,5064,,2652618,2020FLZZ,ZZWD,2009,9, ,AABB,,2005 N.W. 115th Ave.,33172
RAPCO SUPPLY,,1218 Dyer Blvd.,Kissimmee,FL,34741,4079330023,12,"Distributor of HVAC, appliance & refrigeration equipment & parts & property maintenance supplies","Armando Gonzalez, Sr.",M,Q,Owner,,,,,4079330535,,www.rapcosupply.com,sales@rapcosupply.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HV0125,No,5075,5064,2653175,2020FLZZ,ZZWD,2009,5, ,AABB,,,
DEFORD FUEL & OIL,,8 Hartshorn St.,St. Augustine,FL,32084,9048292251,5,"Distributor of fuel, including diesel & gasoline",Kenny DeFord,M,,Pres.,Eli Cassotta,,Q,Off. Mgr.,9048242983,,,,,,,,1978,L,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE0335,No,5172,,2654034,2020FLZZ,ZZWD,2009,9, ,AABB,,,
BUCKEYE TERMINAL,,2617 Zoo Pkwy.,Jacksonville,FL,32226,9047574498,9,"Distributor of oil, diesel & gasoline",Mike Miller,M,Q,Opers. Mgr.,,,,,9047515361,,www.hess.com,investorrelations@hess.com,,,,,1957,R,C,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buckeye, Inc.",Midland,TX,4326827422,PE0335,No,5172,,2654035,2020FLZZ,ZZWD,2009,9, ,AABB,,"2301 W. Francis Ave., P.O. Box 5564",79701
HIGHLANDS OIL CO.,,1130 N. Scenic Hwy.,Lake Wales,FL,33853,8636763910,40,"Distributor of lubricants & fuels for commercial, industrial, mining & agricultural uses, including gas & diesel engine oils, hydraulic oils, greases & transmission & tractor fluids",Tom Horvatits,M,,Pres.,Jennifer Vallance,F,Q,Off. Mgr.,8636760654,8002827265,www.midstateenergy.com,admin@midstateenergy.com,,,,,1958,L,I,-,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE0335,No,5172,,2654036,2020FLZZ,ZZWD,2009,4, ,AABB,,,
DENTALL,,2028 W. Flagler St.,Miami,FL,33135,3055410418,5,Wholesaler of dental equipment & supplies,Francisco Echeverri,M,Q,Owner,Erica Echeverri,F,,Sales Mgr.,,,www.dent-all.com,info@dent-all.com,,,,,1986,I,I,$2Mil,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE0380,No,5047,,2654037,2020FLZZ,ZZWD,2009,9, ,AABB,,,
"TEMPACO, INC.",,"2050 Tall Pines Dr., Ste. B",Largo,FL,33771,7275324691,4,"Wholesaler of industrial & commercial gas supply parts & controls, including valves, fittings, regulators & vent systems for the propane & natural gas industries",Jon Anderson,M,,Regional Mgr.,Joel Roberts,M,,Br. Mgr.,7275320867,8885324692,www.tempaco.com,janderson@tempaco.com,,,,,1946,I,I,"under $500,000",,N,Wendy Heilig,F,Q,Internet Tech. Specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tempaco, Inc.",Orlando,FL,4078983456,IN0453,No,5085,,2654042,2020FLZZ,ZZWD,2009,8, ,AABB,,1984 W. New Hampshire St.,32804
FASTENAL CO.,,268 Blue Juniper Blvd.,Venice,FL,34292,9414861714,4,"Wholesaler of fasteners, safety equipment, tools & abrasives",John Simmons,M,,Store Mgr.,Brandon Johnson,M,Q,Sales Rep.,9414861724,,www.fastenal.com,flven@stores.fastenal.com,,,,,2000,L,C,"under $500,000","3,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fastenal Co.,Winona,MN,5074545374,FA0490,No,5072,5084,2811997,2020FLZZ,ZZWD,2009,9,V,AABB,,2001 Theurer Blvd.,55987
FASTENAL CO.,,"1282 Market Cir., Unit 2",Port Charlotte,FL,33953,9416293278,4,"Wholesaler of fasteners, safety equipment, tools & abrasives",J. C. Savasuk,M,,Br. Mgr.,Christopher Dodge ,M,Q,Sales Rep.,9416293130,8003278362,www.fastenal.com,flpo1@stores.fastenal.com,,,,,2008,L,C,"under $500,000",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fastenal Co.,Winona,MN,5074545374,FA0490,No,5072,5084,2811999,2020FLZZ,ZZWD,2009,9, ,AABB,,2001 Theurer Blvd.,55987
FASTENAL CO.,,6320 Metro Plantation Rd.,Fort Myers,FL,33966,2397689453,4,"Wholesaler of fasteners, safety equipment, tools & abrasives",Jason Powers,M,Q,Br. Mgr.,,,,,2397689653,,www.fastenal.com,flftm@stores.fastenal.com,,,,,2007,L,C,"under $500,000",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fastenal Co.,Winona,MN,5074545374,FA0490,No,5072,5084,2812003,2020FLZZ,ZZWD,2009,9, ,AABB,,2001 Theurer Blvd.,55987
FASTENAL CO.,,117 S.E. Nassau St.,Lake City,FL,32025,3867589423,2,"Wholesaler of fasteners, safety equipment, tools & abrasives",Vivia Bewsher,M,,Br. Mgr.,Bryan Walker,M,Q,Sales Rep.,3867589423,,www.fastenal.com,fllac@stores.fastenal.com,,,,,2005,I,C,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fastenal Co.,Winona,MN,5074545374,FA0490,No,5072,5084,2812004,2020FLZZ,ZZWD,2009,9, ,AABB,,2001 Theurer Blvd.,55987
FASTENAL CO.,,4453 U.S. Highway 27 S.,Sebring,FL,33870,8633858656,4,"Wholesaler of fasteners, safety equipment, tools & abrasives",Len Geyer,M,,Manager,Steve Paniagua,M,Q,Sales Rep.,8633850364,,www.fastenal.com,flseb@stores.fastenal.com,,,,,2005,L,C,"under $500,000",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fastenal Co.,Winona,MN,5074545374,FA0490,No,5072,5084,2812007,2020FLZZ,ZZWD,2009,9, ,AABB,,2001 Theurer Blvd.,55987
FASTENAL CO.,,"4747 N. Nob Hill Rd., Ste. 10",Sunrise,FL,33351,9545785254,3,"Wholesaler of fasteners, safety equipment, tools & abrasives",Giovanni Cajina,M,Q,"Br. Mgr. & Sales Rep., Outside",,,,,9545785270,,www.fastenal.com,flsun@stores.fastenal.com,,,,,2003,L,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fastenal Co.,Winona,MN,5074545374,FA0490,No,5072,5084,2812010,2020FLZZ,ZZWD,2009,9, ,AABB,,2001 Theurer Blvd.,55987
FASTENAL CO.,,"4250 Highway Ave., Ste. 2",Jacksonville,FL,32254,9043871114,3,"Wholesaler of fasteners, safety equipment, tools & abrasives",William Gibson,M,Q,"Sales Rep., Outside",,,,,9043871108,,www.fastenal.com,flja1@stores.fastenal.com,,,,,1998,L,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fastenal Co.,Winona,MN,5074545374,FA0490,No,5072,5084,2812014,2020FLZZ,ZZWD,2009,9, ,AABB,,2001 Theurer Blvd.,55987
FASTENAL CO.,,"750 N.W. Enterprise Dr., Ste. 112",Port St. Lucie,FL,34986,7728797843,4,"Wholesaler of fasteners, safety equipment, tools & abrasives",Spencer Calkins,M,Q,Sales & Opers. Mgr.,,,,,7728797935,,www.fastenal.com,flpor@stores.fastenal.com,,,,,2004,L,C,-,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fastenal Co.,Winona,MN,5074545374,FA0490,No,5072,5084,2812015,2020FLZZ,ZZWD,2009,9, ,AABB,,2001 Theurer Blvd.,55987
FASTENAL CO.,,3977 N.W. 25th St.,Miami,FL,33142,7862657804,5,"Wholesaler of fasteners, safety equipment, tools & abrasives",Tom Marcus,M,Q,Store Mgr.,,,,,7862657805,8773278362,www.fastenal.com,flmi1@stores.fastenal.com,,,,,1998,L,C,"under $500,000","2,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fastenal Co.,Winona,MN,5074545374,FA0490,No,5072,5084,2812018,2020FLZZ,ZZWD,2009,9, ,AABB,,2001 Theurer Blvd.,55987
FASTENAL CO.,,"2201 N. Andrews Ave., Ste. 102",Pompano Beach,FL,33069,9549793629,3,"Wholesaler of fasteners, safety equipment, tools, abrasives, janitorial & office supplies, custom & mil-spec parts, including hoist & rigging & testing & inspection services",Robert Fermin,M,Q,GM,,,,,9549798306,,www.fastenal.com,flpom@stores.fastenal.com,,,,,1962,N,C,$3.4Bil,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fastenal Co.,Winona,MN,5074545374,FA0490,No,5072,5084,2812019,2020FLZZ,ZZWD,2009,9, ,AABB,,2001 Theurer Blvd.,55987
SOUTHERN ELEVATOR & ELECTRIC SUPPLIES,,2781 W. McNab Rd.,Pompano Beach,FL,33069,9549712689,60,"Distributor of elevator & escalators parts, including rollers",Richard Fitzgerald,M,,Pres.,Michelle Golubov,F,Q,"V-P., Fin., Hum. Res. & IT Mgr.",9549177337,8005260026,www.seesinc.com,info@seesinc.com,,,,,1990,I,I,,,,Carmen Byers,F,,Accts. Rec. Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL1417,No,5084,,2812028,2020FLZZ,ZZWD,2009,3, ,AABB,,,
"FERGUSON ENTERPRISES, INC.",,5206 W. Waters Ave.,Tampa,FL,33634,8138811982,55,"Wholesaler of plumbing & heating supplies, including water heaters, pipe & fittings",Nathan Parker,M,,Br. Mgr.,Nathan Smith,M,Q,Sales Rep.,8138811884,,www.ferguson.com,nathan.parker@ferguson.com,,,,,,I,C,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ferguson Enterprises, Inc.",Newport News,VA,7578747795,PL1837,No,5074,5075,2812038,2020FLZZ,ZZWD,2009,3, ,AABB,,12500 Jefferson Ave.,23602
FRESHPOINT WEST COAST FLORIDA,,5445 Bonacker Dr.,Tampa,FL,33610,8136201141,80,"Wholesaler of produce, including exotic & baby vegetables & fresh herbs",Peter Cappiali,M,Q,Pres.,Mike Hall,M,,Opers. Mgr.,8136201304,8003164500,www.freshpoint.com,info@freshpoint.com,,,,,1988,L,C,,,N,Alex Newberg,,,Hum. Res. & IT Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSCO Corp.,Houston,TX,2815841390,PR1136,No,5148,,2812043,2020FLZZ,ZZWD,2009,3,S,AAN1,,1390 Enclave Pkwy.,77077
FLETCHER'S MEDICAL SUPPLIES,,5861 S. Distribution Ave.,Jacksonville,FL,32256,9043874481,50,"Distributor of durable medical equipment & supplies, including wheelchairs, beds & lifts",Michael Fletcher,M,Q,Pres.,,,,,9043896965,,www.fletchersmedical.com,fletchersmed@gmail.com,,,,,1978,R,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ME0318,No,5047,,2812045,2020FLZZ,ZZWD,2009,3,R,A1,,,
