compname,akadba,physaddr,physcity,physstate,physzip,vnumber,loccount,products,exec1,gender1,officermail1,title1,exec2,gender2,officermail2,title2,fnumber,nnumber,web,email,mailaddr,mailcity,mailstate,mailzip,yearestab,distribtyp,ownertype,sales,squarefeet,imports,exec3,gender3,gender3_d,title3,exec4,gender4,gender4_d,title4,exec5,gender5,officermail5,title5,exec6,gender6,officermail6,title6,exec7,gender7,officermail7,title7,exec8,gender8,officermail8,title8,exec9,gender9,officermail9,title9,exec10,gender10,officermail10,title10,parentname,parentcity,parentstat,onumber,header,advertiser,primarysic,sic2,companyid,datasource,bookid,newinyear,priority,addresserror,dpvfootnote,altphone,paddress,pzip5
"BAILEY INDUSTRIES, INC.",,1107 N. Thomas Rd.,Leesburg,FL,34748,3523262898,100,Wholesaler of cabinetry & wood flooring,Elijah Bailey,M,,Owner,Michael O'Reilly,M,Q,"Dir., Opers.",3523263630,8772245394,www.baileyind.com,information@baileyind.com,P.O. Box 490090,Leesburg,FL,34749,1992,N,I,$12Mil-$30Mil,"46,500",N,Patti Kiser,F,,"Dir., Corp. Support & Hum. Res. Mgr.",Joe Wiggins,M,,IT Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA0060,No,5021,,99813,2020FLZZ,ZZWD,1994,1, ,AABB,,,
JOHNSON AUTO PARTS,,"45044 S. State Road 200, P.O. Box 2209",Callahan,FL,32011,9048793098,1,Distributor of automotive parts,Eric Larson,M,Q,GM,,,,,9048794621,,www.letnapa.com,,,,,,1926,L,C,"$500,000-$1Mil",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genuine Parts Company,Atlanta,GA,7709531700,AU0460,No,5015,,100048,2020FLZZ,ZZWD,1994,9,V,AABB,,2999 Wildwood Pkwy.,30339
STEVE'S CUSTOM GOLF,,4515 Clark Rd.,Sarasota,FL,34233,9419237858,1,Wholesaler of golf equipment,Don Warekois,M,Q,Pres.,,,,,9419237858,,www.stevesgolf.com,stevesgolf@comcast.net,,,,,1989,L,I,"under $500,000","2,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO0095,No,5091,,102171,2020FLZZ,ZZWD,1994,9, ,AABB,,,
DAL-TILE CORPORATION,,"815 N.W. 25th Ave., Ste. B",Ocala,FL,34475,3523512922,4,Distributor of ceramic tile,Al Piscitelli,M,Q,GM,,,,,3523513037,,www.daltile.com,info@daltile.com,,,,,1980,L,C,"under $500,000",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dal-Tile Corporation,Dallas,TX,2143981411,TI0090,No,5032,,102271,2020FLZZ,ZZWD,1994,9, ,AABB,,7834 C. F. Hawn Fwy.,75217
HOOD DISTRIBUTION CO.,,"1860 Doctor Andres Way, P.O. Box 10069",Delray Beach,FL,33445,5612765155,36,Distributor of hardwood & specialty softwood lumber & mouldings,Axel Lambertini,M,,GM,Joe Moke,M,Q,Asst. Mgr.,5612728675,8006783034,www.hooddistribution.com,,,,,,1978,L,I,$1Mil-$5Mil,"30,000",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hood Industries, Inc.",Hattiesburg,MS,6012642962,BU0243,No,5031,,102418,2020FLZZ,ZZWD,1994,4,R,A1,,15 Professional Pkwy.,39402
"AIR COMPRESSOR PRODUCTS, INC.",,2362 Emerson St.,Jacksonville,FL,32207,9043965575,15,Distributor of air compressor & filtration systems,Charlie Becky,M,Q,Pres.,Greg Walski,M,,"V-P., Sales",9043982546,8003945575,www.air-compressor.com,cbecky@air-compressor.com,P.O. Box 5385,Jacksonville,FL,32247,1973,N,I,over $2Mil,"42,000",N,Phil Spellman,M,,Mktg. Mgr.,Lester Stoners,M,,Pur. Agt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CO1251,No,5084,,104593,2020FLZZ,ZZWD,1994,5, ,AABB,,,
AMARR GARAGE DOORS,,6905-A Parke East Blvd.,Tampa,FL,33610,8136235539,4,Wholesaler of garage doors,Eugene Doucette,M,,GM,Chris Amaral,M,Q,Serv. Mgr.,8136236388,8005033667,www.amarr.com,marketing@amarr.com,,,,,1985,N,C,"under $500,000","9,500",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amarr Co.,Winston-Salem,NC,3367445100,DO0184,No,5031,,105298,2020FLZZ,ZZWD,1994,9,V,AABB,,165 Carriage Ct.,27105
"ART & FRAME DIRECT, INC.",,11423 Satellite Blvd.,Orlando,FL,32837,4078576000,110,"Distributor of home furnishings, including mirrors & furniture",John Esguerra,M,Q,V-P.,Richard Moore,M,,Cont.,4078579953,8007471893,www.artframedirect.com,customerservice@afthome.com,,,,,1990,I,S,$20Mil-$30Mil,"25,000",Y,Jane Gatto,F,,R & D Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FU0345,No,5023,5021,105835,2020FLZZ,ZZWD,1994,1, ,AABB,,,
"HYDRAULIC SALES & SERVICE, INC.",,3700 N.W. South River Dr.,Miami,FL,33142,3056334677,26,"Distributor of hydraulic & industrial hoses, seals & packing, custom push-pull cables & gages & filters",Cleve Jones,M,Q,Pres.,Paul Recinos,M,,GM,3056385284,8006226477,www.hydraulicsales.com,sales@hydraulicsales.com,P.O. Box 260188,Miami,FL,33126,1971,N,S,$1Mil-$5Mil,"10,000",N,Nancy Buttari,F,,Hum. Res. Mgr.,Fred Orig,M,,Salesman,Steven Butt,M,,Salesman,,,,,,,,,,,,,,,,,,,,,,,,,HO0310,No,5085,5072,106693,2020FLZZ,ZZWD,1994,4, ,AABB,,,
NATIONWIDE DATA SYSTEMS,,5801 Benjamin Rd.,Tampa,FL,33634,8138854700,3,"Distributor of blueprinting/engineering equipment & supplies, including service",Jay Rule,M,Q,IT Mgr.,Nolan Rodrick,M,,Manager,8134481718,,www.bigcopier.com,info@bigcopier.com,P.O. Box 20465,Tampa,FL,33622,1987,L,S,"under $500,000","4,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL0246,No,5046,5084,106791,2020FLZZ,ZZWD,1994,9,,,,,
"DISCOUNT WIRE & SLING, INC.",,4836 N.E. 11th Ave.,Fort Lauderdale,FL,33334,9547727173,4,"Distributor of slings, chains, tie downs, rope, cable & wire rope for industrial & marine applications",William Davis,M,Q,"Pres., Fin., GM & Opers. Mgr.",Robert Davis,M,,MIS & Opers. Mgr.,9547727339,8009407173,www.discountwireandsling.com,discountwire@hotmail.com,,,,,1986,N,1,"over $500,000","2,800",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL0060,No,5085,,106972,2020FLZZ,ZZWD,1994,9, ,AABB,,,
CULLIGAN WATER CONDITIONING,,16101 Old U.S. 41,Fort Myers,FL,33912,2394822213,45,"Distributor of water softeners, drinking water & problem water systems, water treatment systems, reverse osmosis systems & whole-house filters & bottled water for residential, industrial & commercial applications",Dala Mast,M,Q,Pres.,Tony Mast,M,,V-P.,2394823187,,www.culliganfortmyers.com,info@culliganfortmyers.com,,,,,1975,L,I,$6Mil-$10Mil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WA0440,No,5074,,107529,2020FLZZ,ZZWD,1994,4, ,AABB,,,
"DYNASYS TECHNOLOGIES, INC.",,"2106 Brew St., Ste. 104",Clearwater,FL,33765,7274436600,2,Distributor of handheld RFID & bar code scanners & automatic data collection & animal care systems,Bobby Burkett,M,,"V-P., Engrg. & Fin. & Hum. Res. Mgr.",Tomas Grajales,M,Q,"V-P., R & D",7274434390,8008675968,www.dyna-sys.com,sales@dyna-sys.com,,,,,1988,I,I,$1Mil-$5Mil,"10,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DA0156,No,5065,,107790,2020FLZZ,ZZWD,1994,9, ,AABB,,,
JORDON GLASS CORP.,,6320 N.W. 99th Ave.,Miami,FL,33178,3054820116,5,"Distributor of glass fabricating & processing machinery for the glass industry, including edgers, bevellers, drillers, laminating machines, washers & tempering furnaces",Ricardo Dominguez,M,Q,"Pres., Engrg. & Opers. Mgr.",Rick Dominguez,M,,Sales Mgr.,3054820119,8008332159,www.jordonglass.com,sales@jordonglass.com,,,,,1981,I,L,over $5Mil,"17,000",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GL0300,No,5084,,108384,2020FLZZ,ZZWD,1994,8, ,AABB,,,
NATIONAL MOLDS & COMPONENTS CORP.,,"7534 N.W. 70th St., P.O. Box 667507",Miami,FL,33166,3058841333,4,"Distributor of plastic injection molds, components & tooling for the plastic injection molding & die casting industries",William Cortes,M,,Pres.,Hector Cortes,M,,Sales Mgr.,3058841811,,www.namolds.com,namolds@bellsouth.net,,,,,1987,I,1,"$500,000-$1Mil","3,000",N,Gloria Cortes,F,Q,Off. Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO0460,No,5084,,108666,2020FLZZ,ZZWD,1994,9, ,AABB,,,
"MAGNIFYING CENTER, THE",Magnifying America,10086 W. McNab Rd.,Tamarac,FL,33321,8003641610,14,Distributor of high power & video magnifiers,John Palmer,M,Q,Pres.,Paula Gutierrez,F,,"Dir., Hum. Res.",3523076614,,www.magnifyingcenter.com,jpalmer@magnifyingcenter.com,,,,,1991,I,I,$3Mil-$5Mil,"15,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA1938,No,5048,,108819,2020FLZZ,ZZWD,1994,5, ,AABB,,,
ALLIED DOOR & HARDWARE CO.,Overhead Door Co.,1465 Cox Rd.,Cocoa,FL,32926,3216396372,20,Distributor of wooden & metal doors & builders hardware,"George Whitehurst, Jr.",M,,Pres.,Paul Puleo,M,,Sales Mgr.,3216391039,,www.allieddoors.com,info@allieddoors.com,,,,,1977,L,I,$1Mil-$5Mil,"12,000",N,Ken Dodd,M,,Proj. Mgr.,Ashley Whitehurst,F,Q,Bookkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO0121,No,5031,5072,108882,2020FLZZ,ZZWD,1994,5, ,AABB,,,
"BRONZ-GLOW TECHNOLOGIES, INC.",,175 Bronz Glow Way,St. Augustine,FL,32095,9048250175,25,Distributor of industrial & commercial coatings for HVAC equipment & do-it-yourself products,David G. Jacobs,M,Q,"Pres., CEO",Darlene A. Gill,F,,Ex. V-P.,9048250122,8005556385,www.bronz-glow.com,info@bronz-glow.com,,,,,1989,I,S,-,"35,000",N,Paul T. Novack,M,,Cust. Serv. & Inside Sales Team Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CO0180,No,5169,,109041,2020FLZZ,ZZWD,1994,4, ,AABB,,,
"WHITEHALL PRODUCTS, INC.",,4514 S. Church Ave.,Tampa,FL,33611,8132472500,12,Distributor of trash liners & janitorial supplies,Joseph Justin,M,,"Pres., Pers. & Pur. Mgr.",Mike Russo,M,Q,"CFO, MIS Mgr.",8132482349,8002621258,www.whitehall-products.com,info@whitehall-products.com,,,,,1987,N,I,$5Mil-$10Mil,"28,800",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JA0045,No,5169,5085,109208,2020FLZZ,ZZWD,1994,5,,,,,
"KLIMAIRE PRODUCTS, INC.",,2190 N.W. 89th Pl.,Miami,FL,33172,3055938358,25,Distributor of air conditioning equipment,Iltekin Korkmaz,M,Q,Off. & Opers. Mgr.,Virginia Korkmaz,F,,Hum. Res. Mgr.,3054994378,8009785628,www.klimaire.com,,,,,,1989,I,,-,"202,000",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI0120,No,5075,,109317,2020FLZZ,ZZWD,1994,4, ,AABB,,,
"A JANITORS CLOSET, INC.",,4183 E. Hillsborough Ave.,Tampa,FL,33610,8136263030,48,Distributor of industrial cleaning chemicals,Lisa Robinson,F,,Pres.,Rob Smith,M,Q,Manager,8136200992,,,,,,,,1964,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL0200,No,5169,,141780,2020FLZZ,ZZWD,1995,4, ,AABB,,,
"HGO DOOR & TRIM, INC.",,3270 Cargo St.,Fort Myers,FL,33916,2393344311,8,Wholesaler of wooden residential & commercial doors,Greg Hennen,M,,Pres.,Debbie Cook,F,Q,Off. Mgr.,2393344611,,,hgo33916@comcast.net,,,,,1997,L,I,$4Mil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO0256,No,5031,,145776,2020FLZZ,ZZWD,1995,9, ,AABB,,,
"GREEN FOREST INDUSTRIES, INC.",,1365 12th St. E.,Palmetto,FL,34221,9417210504,15,Wholesaler of architectural millwork,Brian Vance,M,,Pres.,Linda Vance,F,,V-P.,9417210705,8002973613,www.greenforestindustries.com,sales@greenforestindustries.com,,,,,1994,R,I,-,"20,000",N,Tony Cerully,M,,Prod. Mgr.,Will Langston,M,Q,"Sales Rep., Inside",,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI0165,No,5031,,146706,2020FLZZ,ZZWD,1995,5, ,AABB,,,
UNIVERSAL USED PALLETS,,6350 N.W. 72nd Ave.,Miami,FL,33166,3055942776,20,Distributor of wooden pallets,Jose Lesteiro,M,Q,Owner,Javier Lesteiro,M,,GM,3055910220,,www.universalpalletinc.com,,,,,,1989,R,I,$2.6Mil-$5Mil,,N,Robert Lesteiro,M,,Plt. Mgr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA0700,No,5085,,147183,2020FLZZ,ZZWD,1995,5, ,AABB,,,
CLERO AVIATION CORP.,Clero Enterprises,3881 N.W. 125th St.,Opa Locka,FL,33054,3056814877,3,"Distributor of corporate & military aircraft components & accessories, including maintenance, overhaul & repair of brakes, wheels, starters, generators, blowers, electrical motors & hydraulic components",Jorge J. Clero,M,Q,"Pres., Engrg., Fin., Opers. & R & D Mgr.",,,,,3056814941,,www.cleroaviation.com,jclero@cleroenterprises.com,,,,,1991,N,S,under $2Mil,"5,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI0260,No,5088,5063,147297,2020FLZZ,ZZWD,1995,9, ,AABB,,,
"MR. BLINDS, INC.",,5029 N.W. 36th Dr.,Gainesville,FL,32605,3523679002,4,"Distributor of plantation shutters, wood, faux wood, aluminum & vertical blinds, cellular, roman & roller shades, including installation",Kelly Spence,M,Q,Pres.,,,,,3523739494,,www.mrblindsofgainesville.com,mrblinds@att.net,P.O. Box 358347,Gainesville,FL,32635,1992,R,S,"over $500,000","2,000",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WI0113,No,5023,,147706,2020FLZZ,ZZWD,1995,9, ,AABB,,,
"CUMMINS, INC.",Cummins Sales & Service,5910 E. Hillsborough Ave.,Tampa,FL,33610,8136261101,50,"Distributor of diesel & natural gas engines & generators for the trucking, marine, transit, construction, refuse & RV industries, including maintenance, service & repair",Gary Blessin,M,Q,Opers. Mgr.,,,,,8136268888,,salesandservice.cummins.com,sales@cummins.com,,,,,1988,L,C,$1Mil-$2.5Mil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cummins, Inc.",Atlanta,GA,4047630151,EN0275,No,5084,5063,148069,2020FLZZ,ZZWD,1995,3, ,AABB,,5125 Highway 85,30349
"INDUSTRIAL HOSE & HYDRAULICS, INC.",,1100 S.E. 24th St.,Fort Lauderdale,FL,33316,9545258165,4,"Distributor of industrial hydraulic, fuel, marine & water hose assemblies, hose reels, clamps, filters, regulators, camlocks & crimpers, including certifications & testing",Bob Heckman,M,Q,V-P.,Brian Heckathorn,M,,Store Mgr.,9547618137,,www.industrialhose.com,bobheckman@industrialhose.com,"2450 N. Powerline Rd., Ste. 1",Pompano Beach,FL,33069,1987,R,I,$1Mil-$5Mil,"8,500",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Industrial Hose & Hydraulics, Inc.",Pompano Beach,FL,9549600311,IN0453,No,5084,5085,148109,2020FLZZ,ZZWD,1995,8, ,AABB,,"2450 N. Powerline Rd., Ste. 1",33069
